Time,Y,Yd,Ydd
1.08833,8724.77,-720.161,-3711.41
1.09418,8720.5,-741.877,-3711.41
1.10003,8716.09,-763.594,-3711.41
1.10588,8711.56,-785.31,-3711.41
1.11173,8706.9,-807.027,-3711.41
1.11758,8702.12,-828.743,-3711.41
1.12344,8697.2,-850.46,-3711.41
1.12929,8692.16,-872.176,-3711.41
1.13514,8687,-893.892,-3711.41
1.14099,8681.7,-915.609,-3711.41
1.14684,8676.28,-937.325,-3711.41
1.15269,8670.73,-959.042,-3711.41
1.15854,8665.06,-980.759,-3711.41
1.16439,8659.25,-1002.47,-3711.41
1.17025,8653.33,-1024.19,-3711.41
1.1761,8647.27,-1045.91,-3711.41
1.18195,8641.09,-1067.62,-3711.41
1.1878,8634.78,-1089.34,-3711.41
1.19365,8628.34,-1111.06,-3711.41
1.1995,8621.77,-1132.77,-3711.41
1.20535,8615.08,-1154.49,-3711.41
1.2112,8608.26,-1176.21,-3711.41
1.21706,8601.32,-1197.92,-3711.41
1.22291,8594.24,-1219.64,-3711.41
1.22876,8587.04,-1241.36,-3711.41
1.23461,8579.72,-1263.07,-3711.41
1.24046,8572.26,-1284.79,-3711.41
1.24631,8564.68,-1306.51,-3711.41
1.25216,8556.97,-1328.22,-3711.41
1.25801,8549.14,-1349.94,-3711.41
1.26387,8541.18,-1371.65,-3711.41
1.26972,8533.09,-1393.37,-3711.41
1.27557,8524.87,-1415.09,-3711.41
1.28142,8516.53,-1436.8,-3711.41
1.28727,8508.05,-1458.52,-3711.41
1.29312,8499.46,-1480.24,-3711.41
1.29897,8490.73,-1501.95,-3711.41
1.30482,8481.88,-1523.67,-3711.41
1.31068,8472.9,-1545.39,-3711.41
1.31653,8463.8,-1567.1,-3711.41
1.32238,8454.56,-1588.82,-3711.41
1.32823,8445.2,-1610.54,-3711.41
1.33408,8435.72,-1632.25,-3711.41
1.33993,8426.1,-1653.97,-3711.41
1.34578,8416.36,-1675.68,-3711.41
1.35163,8406.49,-1697.4,-3711.41
1.35749,8396.5,-1719.12,-3711.41
1.36334,8386.37,-1740.83,-3711.41
1.36919,8376.12,-1762.55,-3711.41
1.37504,8365.75,-1784.27,-3711.41
1.38089,8355.24,-1805.98,-3711.41
1.38674,8344.61,-1827.7,-3711.41
1.39259,8333.85,-1849.42,-3711.41
1.39845,8322.97,-1871.13,-3711.41
1.4043,8311.96,-1892.85,-3711.41
1.41015,8300.82,-1914.57,-3711.41
1.416,8289.55,-1936.28,-3711.41
1.42185,8278.16,-1958,-3711.41
1.4277,8266.64,-1979.72,-3711.41
1.43355,8254.99,-2001.43,-3711.41
1.4394,8243.22,-2023.15,-3711.41
1.44526,8231.32,-2044.86,-3711.41
1.45111,8219.29,-2066.58,-3711.41
1.45696,8207.13,-2088.3,-3711.41
1.46281,8194.85,-2110.01,-3711.41
1.46866,8182.44,-2131.73,-3711.41
1.47451,8169.9,-2153.45,-3711.41
1.48036,8157.24,-2175.16,-3711.41
1.48621,8144.45,-2196.88,-3711.41
1.49207,8131.53,-2218.6,-3711.41
1.49792,8118.48,-2240.31,-3711.41
1.50377,8105.31,-2262.03,-3711.41
1.50962,8092.01,-2283.75,-3711.41
1.51547,8078.59,-2305.46,-3711.41
1.52132,8065.03,-2327.18,-3711.41
1.52717,8051.35,-2348.9,-3711.41
1.53302,8037.55,-2370.61,-3711.41
1.53888,8023.61,-2392.33,-3711.41
1.54473,8009.55,-2414.04,-3711.41
1.55058,7995.36,-2435.76,-3711.41
1.55643,7981.04,-2457.48,-3711.41
1.56228,7966.6,-2479.19,-3711.41
1.56813,7952.03,-2500.91,-3711.41
1.57398,7937.33,-2522.63,-3711.41
1.57983,7922.51,-2544.34,-3711.41
1.58569,7907.56,-2566.06,-3711.41
1.59154,7892.48,-2587.78,-3711.41
1.59739,7877.28,-2609.49,-3711.41
1.60324,7861.94,-2631.21,-3711.41
1.60909,7846.48,-2652.93,-3711.41
1.61494,7830.9,-2674.64,-3711.41
1.62079,7815.18,-2696.36,-3711.41
1.62664,7799.34,-2718.07,-3711.41
1.6325,7783.38,-2739.79,-3711.41
1.63835,7767.28,-2761.51,-3711.41
1.6442,7751.06,-2783.22,-3711.41
1.65005,7734.71,-2804.94,-3711.41
1.6559,7718.23,-2826.66,-3711.41
1.66175,7701.63,-2848.37,-3711.41
1.6676,7684.9,-2870.09,-3711.41
1.67345,7668.04,-2891.81,-3711.41
1.67931,7651.06,-2913.52,-3711.41
1.68516,7633.95,-2935.24,-3711.41
1.69101,7616.71,-2956.96,-3711.41
1.69686,7599.34,-2978.67,-3711.41
1.70271,7581.85,-3000.39,-3711.41
1.70856,7564.23,-3022.11,-3711.41
1.71441,7546.48,-3043.82,-3711.41
1.72026,7528.61,-3065.54,-3711.41
1.72612,7510.61,-3087.25,-3711.41
1.73197,7492.48,-3108.97,-3711.41
1.73782,7474.23,-3130.69,-3711.41
1.74367,7455.84,-3152.4,-3711.41
1.74952,7437.34,-3174.12,-3711.41
1.75537,7418.7,-3195.84,-3711.41
1.76122,7399.94,-3217.55,-3711.41
1.76708,7381.05,-3239.27,-3711.41
1.77293,7362.03,-3260.99,-3711.41
1.77878,7342.88,-3282.7,-3711.41
1.78463,7323.61,-3304.42,-3711.41
1.79048,7304.21,-3326.14,-3711.41
1.79633,7284.69,-3347.85,-3711.41
1.80218,7265.04,-3369.57,-3711.41
1.80803,7245.26,-3391.28,-3711.41
1.81389,7225.35,-3413,-3711.41
1.81974,7205.32,-3434.72,-3711.41
1.82559,7185.15,-3456.43,-3711.41
1.83144,7164.87,-3478.15,-3711.41
1.83729,7144.45,-3499.87,-3711.41
1.84314,7123.91,-3521.58,-3711.41
1.84899,7103.24,-3543.3,-3711.41
1.85484,7082.44,-3565.02,-3711.41
1.8607,7061.52,-3586.73,-3711.41
1.86655,7040.47,-3608.45,-3711.41
1.8724,7019.29,-3630.17,-3711.41
1.87825,6997.99,-3651.88,-3711.41
1.8841,6976.56,-3673.6,-3711.41
1.88995,6955,-3695.32,-3711.41
1.8958,6933.31,-3717.03,-3711.41
1.90165,6911.5,-3738.75,-3711.41
1.90751,6889.56,-3760.46,-3711.41
1.91336,6867.49,-3782.18,-3711.41
1.91921,6845.3,-3803.9,-3711.41
1.92506,6822.98,-3825.61,-3711.41
1.93091,6800.53,-3847.33,-3711.41
1.93676,6777.95,-3869.05,-3711.41
1.94261,6755.25,-3890.76,-3711.41
1.94846,6732.42,-3912.48,-3711.41
1.95432,6709.46,-3934.2,-3711.41
1.96017,6686.38,-3955.91,-3711.41
1.96602,6663.17,-3977.63,-3711.41
1.97187,6639.83,-3999.35,-3711.41
1.97772,6616.37,-4021.06,-3711.41
1.98357,6592.78,-4042.78,-3711.41
1.98942,6569.06,-4064.5,-3711.41
1.99527,6545.21,-4086.21,-3711.41
2.00113,6521.24,-4107.93,-3711.41
2.00698,6497.14,-4129.64,-3711.41
2.01283,6472.91,-4151.36,-3711.41
2.01868,6448.56,-4173.08,-3711.41
2.02453,6424.07,-4194.79,-3711.41
2.03038,6399.47,-4216.51,-3711.41
2.03623,6374.73,-4238.23,-3711.41
2.04208,6349.87,-4259.94,-3711.41
2.04794,6324.88,-4281.66,-3711.41
2.05379,6299.76,-4303.38,-3711.41
2.05964,6274.52,-4325.09,-3711.41
2.06549,6249.15,-4346.81,-3711.41
2.07134,6223.65,-4368.53,-3711.41
2.07719,6198.02,-4390.24,-3711.41
2.08304,6172.27,-4411.96,-3711.41
2.08889,6146.39,-4433.67,-3711.41
2.09475,6120.39,-4455.39,-3711.41
2.1006,6094.25,-4477.11,-3711.41
2.10645,6067.99,-4498.82,-3711.41
2.1123,6041.61,-4520.54,-3711.41
2.11815,6015.09,-4542.26,-3711.41
2.124,5988.45,-4563.97,-3711.41
2.12985,5961.68,-4585.69,-3711.41
2.1357,5934.79,-4607.41,-3711.41
2.14156,5907.76,-4629.12,-3711.41
2.14741,5880.61,-4650.84,-3711.41
2.15326,5853.34,-4672.56,-3711.41
2.15911,5825.93,-4694.27,-3711.41
2.16496,5798.4,-4715.99,-3711.41
2.17081,5770.75,-4737.71,-3711.41
2.17666,5742.96,-4759.42,-3711.41
2.18252,5715.05,-4781.14,-3711.41
2.18837,5687.01,-4802.85,-3711.41
2.19422,5658.84,-4824.57,-3711.41
2.20007,5630.55,-4846.29,-3711.41
2.20592,5602.13,-4868,-3711.41
2.21177,5573.58,-4889.72,-3711.41
2.21762,5544.91,-4911.44,-3711.41
2.22347,5516.1,-4933.15,-3711.41
2.22933,5487.17,-4954.87,-3711.41
2.23518,5458.12,-4976.59,-3711.41
2.24103,5428.94,-4998.3,-3711.41
2.24688,5399.63,-5020.02,-3711.41
2.25273,5370.19,-5041.74,-3711.41
2.25858,5340.63,-5055.92,0
2.26443,5311.05,-5055.92,0
2.27028,5281.47,-5055.92,0
2.27614,5251.88,-5055.92,0
2.28199,5222.3,-5055.92,0
2.28784,5192.72,-5055.92,0
2.29369,5163.13,-5055.92,0
2.29954,5133.55,-5055.92,0
2.30539,5103.96,-5055.92,0
2.31124,5074.38,-5055.92,0
2.31709,5044.8,-5055.92,0
2.32295,5015.21,-5055.92,0
2.3288,4985.63,-5055.92,0
2.33465,4956.05,-5055.92,0
2.3405,4926.46,-5055.92,0
2.34635,4896.88,-5055.92,0
2.3522,4867.3,-5055.92,0
2.35805,4837.71,-5055.92,0
2.3639,4808.13,-5055.92,0
2.36976,4778.55,-5055.92,0
2.37561,4748.96,-5055.92,0
2.38146,4719.38,-5055.92,0
2.38731,4689.79,-5055.92,0
